easting,northing,tangent_derivative,inclination_deg
3.332901284219255904e+05,4.979856269043012522e+06,-3.753309061623394394e-01,-2.057266546162835041e+01
3.332886189956553280e+05,4.979857108766112477e+06,-3.550064330681533264e-01,-1.954518966119679035e+01
3.332870762797469506e+05,4.979857882660285570e+06,-3.476429966372789337e-01,-1.916964936596849967e+01
3.332855665645901463e+05,4.979858711275465786e+06,-3.470195317452149375e-01,-1.913777299349165162e+01
3.332840810932287714e+05,4.979859561491317116e+06,-3.473414247460681059e-01,-1.915423220458251308e+01
3.332826198656699271e+05,4.979860433307825588e+06,-3.532361887100146092e-01,-1.945506406506280328e+01
3.332812240600279765e+05,4.979861392348562367e+06,-3.626577874822132230e-01,-1.993357080293755601e+01
3.332787505110373022e+05,4.979863702321297489e+06,-3.413033293101968568e-01,-1.884494392930276874e+01
3.332777189372992143e+05,4.979865007584437728e+06,-3.346826990501174381e-01,-1.850450229735255903e+01
3.332768798630213132e+05,4.979866430106658489e+06,-3.252192306060986415e-01,-1.801552185815765839e+01
3.332762487745271064e+05,4.979867958367853425e+06,-3.140352344731859313e-01,-1.743412618807817438e+01
3.332757941195993917e+05,4.979869593190695159e+06,-3.043691832172004674e-01,-1.692863299388947596e+01
3.332754510559461196e+05,4.979871269568643533e+06,-3.005892824750613923e-01,-1.673021480312169729e+01
3.332751480119519401e+05,4.979872967135518789e+06,-3.029908105243267480e-01,-1.685632629841810015e+01
3.332748846979237278e+05,4.979874674782652408e+06,-3.098121626146734808e-01,-1.721361695832559136e+01
3.332746602448328631e+05,4.979876359184050933e+06,-3.169228967329749125e-01,-1.758460069875190257e+01
3.332742025820912095e+05,4.979879694866589271e+06,-3.261632406156296793e-01,-1.806442251845403035e+01
3.332738980906581273e+05,4.979881336890248582e+06,-3.350821521518849155e-01,-1.852508140455925911e+01
3.332734738309067907e+05,4.979882926455928944e+06,-3.444067760764440433e-01,-1.900405483562729714e+01
3.332729452892592526e+05,4.979884452043611556e+06,-3.523617953779344392e-01,-1.941051047634671178e+01
3.332723051571049145e+05,4.979885936076343060e+06,-3.551475851532531203e-01,-1.955237158523424057e+01
3.332715058167993557e+05,4.979887368679633364e+06,-3.523295896287624851e-01,-1.940886900712240859e+01
3.332705463994005695e+05,4.979888716527554207e+06,-3.440125412969773366e-01,-1.898385958581428312e+01
3.332694496999400435e+05,4.979889945677111857e+06,-3.300929539740507512e-01,-1.826769265034404199e+01
3.332682075407467782e+05,4.979891045225410722e+06,-3.087042560925302714e-01,-1.715567974640019600e+01
3.332655027159112506e+05,4.979892961051359773e+06,-2.729796684434775411e-01,-1.526857788914590053e+01
3.332641200889264001e+05,4.979893819706761278e+06,-2.504113202608219124e-01,-1.405842194621530972e+01
3.332627535279878648e+05,4.979894689059734344e+06,-2.340920288530164983e-01,-1.317524092825322768e+01
3.332613869674142916e+05,4.979895558413007297e+06,-2.231255233534324700e-01,-1.257811806145148736e+01
3.332600849596301559e+05,4.979896481664265506e+06,-2.192057983722962844e-01,-1.236400763691762528e+01
3.332589182068893570e+05,4.979897445853449404e+06,-2.229266368580121727e-01,-1.256726265926075925e+01
3.332578466898020706e+05,4.979898429791696370e+06,-2.359123294443515872e-01,-1.327407806585052619e+01
3.332568166408982943e+05,4.979899490462230518e+06,-2.603786354075105502e-01,-1.459453486574173375e+01
3.332559060709903133e+05,4.979900592481947504e+06,-2.929404209285775273e-01,-1.632744070989621576e+01
3.332543884417950176e+05,4.979902933117371053e+06,-3.555807182475573813e-01,-1.957440573037446541e+01
3.332537813824368641e+05,4.979904171733006835e+06,-3.767831469126463606e-01,-2.064556355390591591e+01
3.332532543619916542e+05,4.979905452726228163e+06,-3.917063590423473518e-01,-2.139059453709136704e+01
3.332527994924429804e+05,4.979906776302729733e+06,-3.949813634876755963e-01,-2.155309623777253947e+01
3.332524801673088223e+05,4.979908151925445534e+06,-3.874671375089808190e-01,-2.117971241583865805e+01
3.332523197607412003e+05,4.979909567868546583e+06,-3.749826311895764208e-01,-2.055517274597027821e+01
3.332522861413161736e+05,4.979911002737548202e+06,-3.651495439342830607e-01,-2.005964271311214020e+01
3.332523164948578924e+05,4.979912469286828302e+06,-3.591372162149327196e-01,-1.975510204831690331e+01
3.332523792694307631e+05,4.979913968339242041e+06,-3.565038317957658909e-01,-1.962134582594107357e+01
3.332524645095975138e+05,4.979916934146664105e+06,-3.459830018038190236e-01,-1.908475027826152370e+01
3.332524948631771840e+05,4.979918400695953518e+06,-3.484946408539471574e-01,-1.921317211935799563e+01
3.332524618233329384e+05,4.979919857782302424e+06,-3.649485544028001627e-01,-2.004948101707727304e+01
3.332523250811588368e+05,4.979921273108290508e+06,-3.838391001603702612e-01,-2.099875480626486990e+01
3.332521085903155035e+05,4.979922657165446319e+06,-4.042387218158496887e-01,-2.201046581409432790e+01
3.332517346300836653e+05,4.979924056445589289e+06,-4.225274663616515047e-01,-2.290539313054338066e+01
3.332512096399693401e+05,4.979925415199715644e+06,-4.332134107929650479e-01,-2.342290775689032145e+01
3.332505339097675169e+05,4.979926744536526501e+06,-4.392251205644097656e-01,-2.371228772293975595e+01
3.332496735700191930e+05,4.979927956409638748e+06,-4.397587089337956501e-01,-2.373791088919032433e+01
3.332486367984438548e+05,4.979929061722068116e+06,-4.336171634916942130e-01,-2.344238273155903229e+01
3.332474791004650760e+05,4.979930070142520592e+06,-4.213841354742716150e-01,-2.284978580007544480e+01
3.332462083640330820e+05,4.979930981465335004e+06,-4.035583464305245172e-01,-2.197695064161271006e+01
3.332448648980582948e+05,4.979931827987950295e+06,-3.873759751547962704e-01,-2.117517086401542414e+01
3.332434814132293104e+05,4.979932653322161175e+06,-3.738149646102192358e-01,-2.049649544188914163e+01
3.332420818631224101e+05,4.979933467959473841e+06,-3.622552971149932688e-01,-1.991318763697967498e+01
3.332406980892606080e+05,4.979934282185642980e+06,-3.514388569341558854e-01,-1.936345683385077976e+01
3.332393537554809591e+05,4.979935095383464359e+06,-3.465828650567272518e-01,-1.911543986471171408e+01
3.332380424224995077e+05,4.979935963301967829e+06,-3.467546790554956737e-01,-1.912422793777059482e+01
3.332368046890174155e+05,4.979936929347110912e+06,-3.640225431934918654e-01,-2.000264644442161810e+01
3.332345987970262067e+05,4.979939210126057267e+06,-3.729803134090848848e-01,-2.045452518802958153e+01
3.332336139934431994e+05,4.979940491945254616e+06,-3.852681886631706409e-01,-2.107008685011235016e+01
3.332327664724352653e+05,4.979941892462341115e+06,-3.896842861495827814e-01,-2.129008098424660389e+01
3.332320635424130596e+05,4.979943389254197478e+06,-3.855450415301254208e-01,-2.108389788396888420e+01
3.332315057828100398e+05,4.979945004538103007e+06,-3.773739224927113445e-01,-2.067519872813741699e+01
3.332310444172124844e+05,4.979946684005145915e+06,-3.710352219810335028e-01,-2.035662768774311715e+01
